iter	Logloss
0	0.6462659713
1	0.6261418393
2	0.6199200805
3	0.6141241718
4	0.6109477462
5	0.6088556102
6	0.6072454485
7	0.6054954441
8	0.6043293367
9	0.6034620925
10	0.6025741014
11	0.6017705964
12	0.6008573018
13	0.6002366218
14	0.597828276
15	0.5973460624
16	0.5956776442
17	0.5934968723
18	0.5930646501
19	0.5927892482
20	0.5924989427
21	0.5922233504
22	0.5918157854
23	0.5914141793
24	0.5894722602
25	0.5892130932
26	0.5889293842
27	0.5887602407
28	0.5884223314
29	0.588180411
30	0.588014493
31	0.5878509751
32	0.5876680973
33	0.587518043
34	0.5873786134
35	0.5871225151
36	0.5870162534
37	0.5863555772
